ráno	am Morgen	06 06-38 vorgefertigt
minulý týden (m.)	letzte Woche	06 06-39 vorgefertigt
včera	gestern	06 06-40 vorgefertigt
potřebovat	brauchen	06 06-41 vorgefertigt
kupovat	kaufen	06 06-42 vorgefertigt
hodný, -á, -é	brav	06 06-43 vorgefertigt
kabát (m.)	Mantel	06 06-44 vorgefertigt
svetr (m.)	Pullover	06 06-45 vorgefertigt
kabelka (w.)	Handtasche	06 06-46 vorgefertigt
drahý, -á, -é	teuer	06 06-47 vorgefertigt
Jak \textbf{ses} měl?	Wie ist es dir // ergangen/gegeangen?	06 06-48 vorgefertigt
Jak to dopadlo?	Wie ist es ausgegangen?	06 06-49 vorgefertigt
Co se stalo?	Was ist passiert?	06 06-50 vorgefertigt
Zapomněl/a jsem..	Ich habe … vergessen.	06 06-51 vorgefertigt
poprvé	zum ersten Mal	06 06-52 vorgefertigt
řídit	fahren, lenken	06 06-55 vorgefertigt
naposled	zuletzt	06 06-56 vorgefertigt
plakat	weinen	06 06-57 vorgefertigt
brzo/brzy	zeitig, bald	06 06-58 vorgefertigt
nakonec	am Ende, schließlich	06 06-61 vorgefertigt
nedávno	unlängst, neulich	06 06-62 vorgefertigt
nejdřív	zuerst	06 06-63 vorgefertigt
pozdě	spät	06 06-65 vorgefertigt
později	später	06 06-66 vorgefertigt
včera	gestern	06 06-67 vorgefertigt
chudý, -á, -é	arm	06 06-68 vorgefertigt
nosit	tragen	06 06-69 vorgefertigt
boty (w.Mz.)	Schuhe	06 06-70 vorgefertigt
klobouk (m.)	Hut	06 06-71 vorgefertigt
knír (m.)	Schurrbart	06 06-72 vorgefertigt
hrát na trubku (w.)	Trompete spielen	06 06-73 vorgefertigt
točit film (m.)	einen Film drehen	06 06-74 vorgefertigt
jako kluk (m.bel.)	als Bub	06 06-75 vorgefertigt
nikdy	niemals	06 06-76 vorgefertigt
taky	auch	06 06-79 vorgefertigt
byt (m.)	Wohnung	07 07-1 vorgefertigt
hledat	suchen	07 07-3 vorgefertigt
veselý, -á, -é	fröhlich	07 07-4 vorgefertigt
smutný, -á, -é	traurig	07 07-5 vorgefertigt
teď	jetzt	07 07-7 vorgefertigt
potřebovat	brauchen	07 07-8 vorgefertigt
kuchyně (w.)	Küche	07 07-9 vorgefertigt
ložnice (w.)	Schlafzimmer	07 07-10 vorgefertigt
obývák (m.)	Wohnzimmer	07 07-11 vorgefertigt
světlý, -á, -é	hell	07 07-12 vorgefertigt
dětský pokoj (m.)	Kinderzimmer	07 07-13 vorgefertigt
garáž (w.) na auto (s.)	Garage für das Auto	07 07-14 vorgefertigt
takový, -á, -é	ein solcher // eine solche // ein solches	07 07-15 vorgefertigt
tak	(und) so // also	07 07-16 vorgefertigt
tmavý, -á, -é	dunkel	07 07-18 vorgefertigt
vědět // vím, víš, ví, víme, víte, ví/vědí	wissen	07 07-19 vorgefertigt
vypadat	aussehen	07 07-20 vorgefertigt
ho (m.)	ihn, es (4.Fall wen?)	07 07-22 vorgefertigt
ji (w.)	sie (4.Fall wen?)	07 07-23 vorgefertigt
zařizovat	einrichten	07 07-24 vorgefertigt
snášet	ausstehen // tolerieren	07 07-25 vorgefertigt
myslet	denken	07 07-27 vorgefertigt
manželé (m.bel.Mz.)	Eheleute, Ehepaar	07 07-28 vorgefertigt
chata (w.)	Wochenendhaus	07 07-29 vorgefertigt
nabízet	anbieten	07 07-30 vorgefertigt
na kraji (m.) města (s.)	am Rande der Stadt, // am Stadtrand	07 07-31 vorgefertigt
blízko lesa (m.)	in der Nähe des Waldes	07 07-32 vorgefertigt
prodat	verkaufen	07 07-33 vorgefertigt
nekuřák (m.bel.) // nekuřačka	NichtraucherIn	07 07-34 vorgefertigt
štíhlý, -á, -é	schlank	07 07-35 vorgefertigt
potkat	(zufällig) treffen	07 07-36 vorgefertigt
pracovat na zahradě (w.)	im Garten arbeiten	07 07-37 vorgefertigt
čekat na tramvaj (w.)/ // autobus (m.)	auf die Straßenbahn // auf den Bus warten	07 07-38 vorgefertigt
blízko	in der Nähe von	07 07-39 vorgefertigt
jen(om)	nur	07 07-40 vorgefertigt
jdu na tenis (m.)	ich gehe Tennis spielen	07 07-41 vorgefertigt
kouřit	rauchen	07 07-42 vorgefertigt
nenávidět	hassen	07 07-43 vorgefertigt
